,music,singer,music_id,release_date,category,music_like,comment_count
1197,알아 알아,데이비드오,5690886,2015.05.11,발라드,4303,5
1198,My Valentine,정엽,5698860,2015.05.15,R&B/Soul,2457,3
1199,맴돌아,포스트맨,5687750,2015.05.08,발라드,4842,12
1200,Love Affair,45RPM,5697137,2015.05.14,랩/힙합,2061,4
1201,마음,아이유,5700639,2015.05.18,포크/블루스,201308,563
1202,View,샤이니,5700879,2015.05.18,댄스,133073,1068
1203,꺼내 먹어요,자이언티,5702706,2015.05.19,R&B/Soul,158066,140
1204,Love Sick,샤이니,5700878,2015.05.18,R&B/Soul,46065,231
1205,이럴거면 그러지말지,백아연,5704397,2015.05.20,발라드,215040,473
1206,동네술집,"허각,정인",5704765,2015.05.22,발라드,34270,21
1207,Odd Eye,샤이니,5700877,2015.05.18,R&B/Soul,25070,135
1208,재연,샤이니,5700887,2015.05.18,발라드,61015,580
1209,너의 노래가 되어,샤이니,5700883,2015.05.18,발라드,25570,165
1210,몸매,박재범,5708013,2015.05.22,랩/힙합,92046,152
1211,Romance,샤이니,5700880,2015.05.18,댄스,20185,72
1212,너랑,홍대광,5697094,2015.06.18,댄스,46128,100
1213,이별의 길,샤이니,5700882,2015.05.18,R&B/Soul,16821,43
1214,Black Hole,샤이니,5700886,2015.05.18,댄스,19695,84
1215,Trigger,샤이니,5700881,2015.05.18,R&B/Soul,15673,44
1216,Woof Woof,샤이니,5700885,2015.05.18,댄스,15248,55
1217,To Be With You,김연우,5709752,2015.05.23,"발라드, 국내드라마",15055,23
1218,더 가까이,효린,5706292,2015.05.21,"발라드, 국내드라마",8329,8
1219,Get,어반자카파,5708377,2015.05.22,R&B/Soul,43772,46
1220,Remember,별,5701018,2015.05.18,"발라드, 국내드라마",5113,8
1221,예쁜사람,"이현,박보람",5706309,2015.05.21,발라드,4520,4
1222,겁이 나,릴리M,5709753,2015.05.23,"록/메탈, 국내드라마",4069,5
1223,놀이,"양다일,강민희",5704784,2015.05.20,R&B/Soul,11115,9
