music,singer,release_date,category,music_like,movie_like,movie_views
달라달라,ITZY,2019.02.12,댄스,171297,5056,1627059
그때가 좋았어,케이시,2018.12.31,발라드,243934,,
"모든 날, 모든 순간",폴킴,2018.03.20,"발라드, 국내드라마",420185,,
FANCY,TWICE,2019.04.22,댄스,137791,5761,1543147
Senorita,"Shawn Mendes, Camila Cabello",2019.08.16,-,12,,
사계,태연,2019.03.24,발라드,264035,3931,450114
Another Day,"먼데이 키즈, 펀치",2019.07.14,"발라드, 국내드라마",77060,,
A Whole New World,"Mena Massoud, Naomi Scott",2019.05.22,"POP, 국외영화",126086,,
비가 내리는 날에는,윤하,2019.07.02,발라드,97233,865,58267
사랑이 식었다고 말해도 돼,먼데이 키즈,2019.05.27,발라드,128081,428,75613
작은 것들을 위한 시,방탄소년단,2019.04.12,댄스,441618,13728,398393
너에게 못했던 내 마지막 말은,다비치,2019.05.17,발라드,170186,920,194878
music,singer,release_date,category,music_like,movie_like,movie_views
사랑을 했다,iKON,2018.01.25,랩/힙합,329735,3878,72047
붕붕,김하온,2018.04.14,랩/힙합,190071,,
별 시,박효신,2018.04.30,발라드,61752,6069,209924
What is Love?,TWICE,2018.04.09,댄스,159942,8563,2416243
지나오다,닐로,2017.10.31,발라드,258051,,
주지마,"로꼬, 화사",2018.04.21,발라드,204539,,
그때 헤어지면 돼,로이킴,2018.02.12,발라드,233072,1547,243770
꽃 길,BIGBANG,2018.03.13,R&B/Soul,233547,,
그날처럼,장덕철,2017.11.28,발라드,251342,545,300091
밤,여자친구,2018.04.30,댄스,169790,4599,1066488
My Way,이수,2017.11.11,"발라드, 국내드라마",163230,730,160024
뿜뿜,모모랜드,2018.01.03,댄스,150253,2941,2714668
잊을만하면,크러쉬,2018.05.03,R&B/Soul,92977,1414,97978
별이 빛나는 밤,마마무,2018.03.07,댄스,180216,5678,1067380
Must Have Love,"SG워너비, 브라운 아이드 걸스",2006.11.16,R&B/Soul,71753,624,70621
너도 그냥 날 놓아주면 돼,윤건,2018.11.29,발라드,136498,293,112648
Is You,에일리(Ailee),2018.12.22,"발라드, 국내드라마",15403,404,47075
느린 우체통,윤하,2018.12.14,발라드,27221,659,28003
이번 겨울,권진아,2018.12.17,R&B/Soul,19186,350,41613
알았다면,장덕철,2018.12.20,발라드,52203,149,38201
사랑 알 수 없나봐,폴킴,2018.12.16,"발라드, 국내드라마",42403,913,40543
크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스",2012.12.06,발라드,161999,6713,565529
미리 메리 크리스마스,아이유,2010.12.09,댄스,170810,,
행복,오반,2018.12.06,"랩/힙합, 인디음악",130583,639,71616
Gone,이창섭,2018.12.11,록/메탈,38927,3237,11174
Wait,EXO,2018.12.13,발라드,81578,,
트라우마,EXO,2018.12.13,댄스,75103,,
올해 제일 잘한 일,TWICE,2018.12.12,R&B/Soul,39186,3901,302690
첫눈에,헤이즈,2018.12.14,R&B/Soul,76439,1270,2921932
Love Shot,EXO,2018.12.13,댄스,192066,16687,726562
Snowman,Sia,2022.12.30,POP,245680,437,36417
벌써 크리스마스,"케이윌, 소유, 보이프렌드, 몬스타엑스, 우주소녀, 유승우, 브라더수, 마인드유, 듀에토, 정세운",2018.12.05,R&B/Soul,24772,3871,93702
180도,벤,2018.12.07,발라드,168949,951,222423
I Was Born To Love You,Queen,2011.01.01,록/메탈,47918,,
Late Night,"로꼬, GRAY(그레이)",2018.11.28,랩/힙합,26953,1023,66403
찾아가세요,러블리즈,2018.11.26,댄스,31939,1147,40451
눈이 내린다,god,2019.01.10,발라드,5357,,
RBB,레드벨벳(Red Velvet),2018.11.30,댄스,74121,5524,610422
흔한 이별,허각,2018.11.28,발라드,85271,353,93163
Wind flower,마마무,2018.11.29,R&B/Soul,73534,3969,291685
HELP ME,뉴이스트 W,2018.11.26,댄스,38307,4515,60766
아낙네,MINO,2018.11.26,랩/힙합,191630,3039,49436
It`s You,샘김,2018.11.22,R&B/Soul,53353,642,52136
알러뷰,EXID,2018.11.21,댄스,42493,1173,424639
그대가 내 안에 박혔다,황치열,2018.11.20,발라드,45712,1319,51750
"thank u, next",Ariana Grande,2018.11.03,POP,176953,1256,242750
사랑했나봐,하이라이트(Highlight),2018.11.20,댄스,39525,5172,110270
Destiny,Wanna One,2018.11.19,댄스,144716,17674,609557
소나무,Wanna One,2018.11.19,발라드,66948,,
Awake!,Wanna One,2018.11.19,댄스,64036,,
술래,Wanna One,2018.11.19,발라드,74013,,
묻고싶다,Wanna One,2018.11.19,댄스,69408,,
불꽃놀이,Wanna One,2018.11.19,댄스,79064,,
집,Wanna One,2004.11.09,"댄스, 랩/힙합",3203,,
봄바람,Wanna One,2018.11.19,댄스,144716,17674,609557
신용재,하은,2018.11.06,발라드,139687,412,141405
나비,비투비,2018.11.12,발라드,34218,,
제발,비투비,2018.11.12,발라드,47225,,
My Trouble,볼빨간사춘기,2018.11.15,"포크/블루스, 국내드라마",35802,1446,55287
북향,다이나믹 듀오,2018.11.12,랩/힙합,50429,187,39210
아름답고도 아프구나,비투비,2018.11.12,발라드,174982,9070,199641
SOLO,제니,2018.11.12,랩/힙합,221120,1316,21654
구름,로시,2018.10.01,"R&B/Soul, 국내드라마",54257,,
119,"nafla, pH-1, Kid Milli, OLNL, 루피, SUPERBEE",2018.10.27,랩/힙합,39040,,
Answer : Love Myself,방탄소년단,2018.08.24,랩/힙합,231671,,
소년점프,마미손,2018.11.10,랩/힙합,84332,,
너에게,김민석,2018.10.11,"발라드, 국내드라마",43656,350,29623
Waste It On Me),Steve Aoki,2018.10.25,POP,109366,337,30915
그땐 그댄,케이윌,2018.11.06,발라드,10300,848,62351
Sunbbang,나플라,2018.11.03,랩/힙합,14536,,
Friend,비투비,2018.11.12,발라드,89590,7222,64763
Damage,EXO,2018.11.02,댄스,82204,,
Euphoria,방탄소년단,2018.08.24,랩/힙합,243790,,
벚꽃연가,첸,2018.10.16,"발라드, 국내드라마",75873,7152,79069
후폭풍,EXO,2018.11.02,R&B/Soul,81158,,
오아시스,EXO,2018.11.02,R&B/Soul,87363,,
여기 있을게,EXO,2018.11.02,발라드,86897,,
가끔,EXO,2018.11.02,R&B/Soul,82787,,
