,music,singer,release_date,category,music_like,movie_like,movie_views
322,내 생에 가장 아름다운,임창정,2016.09.06,발라드,7424,,
323,그 곳에 멈춰서,임창정,2016.09.06,발라드,11616,,
324,빨리 전화해,MOBB,2016.09.09,랩/힙합,40486,967.0,27737.0
325,몸,MINO,2016.09.08,랩/힙합,77084,2018.0,46038.0
326,또 다시 사랑,임창정,2015.09.22,발라드,197158,2298.0,502111.0
327,노래 한번 할게요,임창정,2016.09.06,발라드,16141,,
328,사랑해 기억해,아이오아이,2016.08.31,"발라드, 국내드라마",32154,,
329,SKIP,"크러쉬, 한상원",2016.08.24,R&B/Soul,33365,811.0,68097.0
330,그립고 그립고 그립다,김연지,2016.08.14,발라드,7062,,
331,Whatta Man,아이오아이,2016.08.09,댄스,50371,6528.0,1374586.0
332,거짓말이라도 해줘요,박보람,2016.08.04,"발라드, 국내드라마",22036,343.0,79758.0
333,사랑해요,김범수,2016.08.04,"발라드, 국내드라마",57927,384.0,130461.0
334,어때?,현아,2016.08.01,랩/힙합,25008,944.0,680249.0
335,여름밤에 우린,스탠딩 에그(Standing Egg),2016.08.03,"인디음악, 포크/블루스",106158,,
336,1 TO 10,TWICE,2017.02.20,댄스,15557,,
337,And July,헤이즈,2016.07.18,랩/힙합,182334,2309.0,588845.0
338,바다,"허각, 정은지(Apink)",2016.07.21,댄스,39692,1818.0,251306.0
339,Rhythm After Summer,EXO-CBX,2016.10.31,댄스,50531,,
340,Cherish,EXO-CBX,2016.10.31,댄스,59769,,
341,넌 살아있다,버즈,2016.10.30,록/메탈,21191,1347.0,93935.0
342,블랙홀,MC몽,2016.11.02,랩/힙합,14546,,
343,널 너무 사랑해서,MC몽,2016.11.02,랩/힙합,45314,1226.0,465104.0
344,남아있어,로꼬,2016.11.04,랩/힙합,88331,1370.0,190431.0
345,The Closer,빅스,2016.10.31,댄스,20932,3483.0,123225.0
346,Hey Mama!,EXO-CBX,2016.10.31,댄스,78906,13915.0,406234.0
347,그대 그대 그대,엠씨더맥스,2016.10.07,발라드,48718,1911.0,135324.0
348,꺼내본다,김나영,2016.10.18,발라드,35140,324.0,45661.0
349,안 괜찮아,벤,2016.10.17,발라드,26065,722.0,68003.0
350,잠깐만,아이오아이,2016.10.17,댄스,52165,,
351,내 옆에 그대인 걸,다비치,2016.10.13,발라드,61880,1036.0,250597.0
352,Begin,방탄소년단,2016.10.10,R&B/Soul,86869,,
