,music,singer,release_date,category,music_like,movie_like,movie_views,Unnamed: 0
343,천국과 지옥 사이,보아,2013.08.14,"발라드, 국내드라마",3995,,,
344,나쁜 기집애,CL,2013.05.28,랩/힙합,14855,606.0,616007.0,
345,시간이 흐른 뒤엔,"용준형, 비투비",2013.05.24,"랩/힙합, 국내드라마",18125,5560.0,92822.0,
346,떠올라,백지영,2013.05.24,댄스,2222,,,
347,마지막 그 한마디,이승기,2013.05.27,발라드,11041,650.0,88102.0,
348,괜찮겠니,비스트,2013.05.29,발라드,34188,5548.0,236663.0,
349,콩떡빙수,AKMU,2013.05.23,"댄스, 일렉트로니카",34374,,,
350,Number 1,투개월,2013.05.24,포크/블루스,26299,63.0,133430.0,
351,Bad Girls,이효리,2013.05.21,댄스,34239,502.0,837852.0,
352,사랑 끝,김보경,2013.05.10,발라드,5599,,,
353,하.니.뿐.,2PM,2013.05.06,댄스,19854,902.0,258937.0,
354,안아줘요,"오렌지 캬라멜, 10cm",2013.05.10,록/메탈,5993,,,
355,줄래,스윙스,2013.05.13,랩/힙합,9803,254.0,59639.0,
356,이 나이 먹도록,바이브,2013.05.15,발라드,20433,149.0,69435.0,
357,헤어지자,서인영,2013.05.15,발라드,25864,86.0,76132.0,
358,This Love,신화,2013.05.16,댄스,24121,2060.0,501043.0,
359,Going Home,디셈버,2013.05.03,발라드,3659,138.0,22804.0,
360,이 노래를 듣고 돌아와,2PM,2013.06.19,댄스,4336,,,
361,헬로,유승우,2013.05.08,록/메탈,14959,245.0,75173.0,
362,너 때문에,유브이,2013.05.06,댄스,6889,53.0,102193.0,
