music,singer,release_date,category,music_like,movie_like,movie_views
너무 아픈 사랑은 사랑이 아니었음을,바이브,2014.02.20,발라드,2801,,
틈,숙희,2014.02.15,"발라드, 국내드라마",4496,62,32301
"좋았던 건, 아팠던 건 & CHEN)",S.M. THE BALLAD,2014.02.13,발라드,17338,,
Beep,박지윤,2014.02.17,댄스,4637,87,86604
들리나요,더 원,2008.12.29,발라드,14,,
그때 우리 사랑은,박시환,2014.02.21,"발라드, 국내드라마",4838,256,156785
슬픈거짓말,"서인국, DK",2014.02.18,댄스,3344,,
뛰뛰빵빵,비투비,2014.02.17,댄스,45018,4376,323895
어느 소녀의 사랑이야기,윤민수,2014.02.15,발라드,7447,2760,725773
해운대,바이브,2014.02.20,발라드,11605,140,61190
너의 집 앞,김수현,2014.02.19,"발라드, 국내드라마",16163,,
하얀 나비,심은경,2014.01.28,국내영화,19711,,
So Wonderful,레이디스 코드,2014.02.13,댄스,13396,393,324736
꽃향기,임정희,2014.02.07,"발라드, 국내드라마",8568,,
Pass Me By,브라운 아이드 소울,2014.02.14,R&B/Soul,10755,428,68285
Set Me Free),S.M. THE BALLAD,2014.02.12,발라드,12521,,
입술이 밉다,유승우,2014.02.10,발라드,6141,232,32877
Talk To Me,투개월,2014.02.10,록/메탈,4545,33,39285
썸남썸녀,"케이윌, 마마무",2014.02.11,댄스,37869,3053,410026
숨소리(Breath) & 종현(샤이니)),S.M. THE BALLAD,2014.02.10,발라드,51163,493,91691
아무말도 하지마요,써니힐,2014.01.24,발라드,4911,184,46130
F.I.L.A,긱스(Geeks),2014.02.03,랩/힙합,2730,,
Q&A,가인,2014.02.06,발라드,7774,,
나성에 가면,심은경,2014.01.28,국내영화,22395,,
1004,B.A.P,2014.02.03,댄스,26310,1109,159243
오늘 같은 눈물이,허각,2014.02.05,"발라드, 국내드라마",24345,146,101419
끝사랑,김범수,2011.06.16,발라드,122347,302,110652
Black & White,가인,2014.02.06,댄스,2914,,
Taxi,M,2014.02.06,댄스,4340,390,79321
사랑해,비,2014.02.07,발라드,3268,268,79196
진실 혹은 대담,가인,2014.02.06,댄스,23309,866,496634
Love Is An Open Door,"Kristen Bell, Santino Fontana",2013.01.01,"POP, 애니메이션/웹툰, 키즈, 만화",12458,,
Fxxk U,가인,2014.02.06,댄스,29084,738,1316019
결혼까지 생각했어,휘성,2010.08.26,R&B/Soul,45095,660,188665
출발,김동률,2008.01.24,발라드,75148,661,77097
Maybe,프리스타일,2014.01.21,랩/힙합,5951,,
별에서 온 그대,윤하,2014.02.26,"발라드, 국내드라마",5937,,
호호호빵,휘성,2014.01.17,발라드,1757,,
사랑했지만,정동하,2014.01.18,"발라드, 록/메탈",2588,858,635019
Do You Want To Build A Snowman?,Kristen Bell,2013.01.01,"POP, 애니메이션/웹툰, 키즈, 만화",7121,,
Heaven,김재중,2014.01.20,발라드,6420,,
Cha Cha,레인보우 블랙,2014.01.20,댄스,11194,278,682794
Girls Girls Girls,GOT7,2014.01.20,랩/힙합,25314,2317,514923
답이 없었어,홍대광,2014.03.21,"발라드, 록/메탈",39242,186,87842
내 생각날 거야,거미,2014.01.17,발라드,15684,61,24255
LONELY,비원에이포,2014.01.13,댄스,50224,1698,38275
아프다니까,"더 원(The One), 펀치(Punch)",2014.01.07,랩/힙합,7704,,
사랑 그땐,비원에이포,2014.01.13,발라드,16105,,
행복하기를,투빅,2014.01.16,발라드,8529,30,17082
짧은 치마,AOA,2014.01.16,댄스,50209,1790,2706716
Good Morning Baby,에이핑크,2014.01.13,댄스,32849,3165,393076
Hush,miss A,2017.03.10,-,0,,
하면 할수록,"더 씨야, 손호준",2014.01.03,발라드,2988,103,36796
한번만,소유,2014.01.07,"발라드, 국내드라마",11434,,
I Do I Do,시크릿,2013.12.09,댄스,9328,344,294083
너에게,성시경,2013.11.01,"발라드, 국내드라마",101081,557,274867
별일 아니야,김경록,2014.01.07,발라드,3903,119,18126
행복하지마,"마마무, 범키",2014.01.09,R&B/Soul,32017,2570,201975
30 SEXY,비,2014.02.07,댄스,3044,,
백야,엠씨더맥스,2014.01.02,발라드,64245,985,57824
노래가 늘었어,에일리,2014.01.06,발라드,82714,558,392210
이별식탁,산이,2013.11.21,랩/힙합,42550,371,281635
어떻게 널 잊어,나몰라패밀리N,2013.12.31,랩/힙합,2594,,
You are a miracle,2013 SBS 가요대전 FRIENDSHIP PROJECT,2013.12.30,발라드,6617,196,80128
LA SONG,비,2014.01.02,댄스,21448,486,750302
내 이야기,엠씨더맥스,2014.01.02,발라드,6384,,
빈자리,엠씨더맥스,2014.01.02,발라드,7283,,
하루만 빌려줘,엠씨더맥스,2014.01.02,록/메탈,20632,,
입술의 말,엠씨더맥스,2014.01.02,발라드,66187,,
퇴근길,엠씨더맥스,2014.01.02,발라드,12109,892,20043
Something,걸스데이,2014.01.03,댄스,56648,1528,2101226
그때 우리,엠씨더맥스,2014.01.02,발라드,43551,967,50509
그대가 분다,엠씨더맥스,2014.01.02,발라드,107237,1318,214947
