Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
181,new,"

코미디여 오소서
이승윤 | 폐허가 된다 해도","2,107,382","쇼플레이
Kakao Entertainment",,
182,31,"

가까운 듯 먼 그대여
카더가든 | 가까운 듯 먼 그대여","2,106,830","니즈뮤직
NHN벅스",,
183,19,"

서툰 이별을 하려해 (Feat.전상근)
윤토벤 (YounToven) | 서툰 이별을 하려해","2,087,094","윤토벤
사운드리퍼블리카",,
184,38,"

너의 모습
정동하 | 너의 모습","2,083,158","뮤직원 컴퍼니
Kakao Entertainment",,
185,new,"

흩어진 꿈을 모아서
이승윤 | 폐허가 된다 해도","2,076,823","쇼플레이
Kakao Entertainment",,
186,10,"

주저하는 연인들을 위해
잔나비 | 전설","2,055,935","페포니 뮤직
Kakao Entertainment",,
187,44,"

역겹겠지만 (Remember me)
B.I | WATERFALL","2,049,861","IOK MUSIC
Dreamus",,
188,28,"

고백
장범준 | 첫 번째 `고백`","2,042,004","Kakao Entertainment, 버스커버스커
Kakao Entertainment",,
189,55,"

가진다는 말은 좀 그렇지?
10cm | The 3rd EP","2,039,550","매직스트로베리사운드
Kakao Entertainment",,
190,15,"

사계 (Four Seasons)
태연 (TAEYEON) | 사계 (Four Seasons)","2,027,658","SM Entertainment
Dreamus",,
191,25,"

이젠 잊기로 해요 (Drama Ver.)
미도와 파라솔 | 슬기로운 의사생활 시즌2 OST Special","2,004,822","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
192,21,"

Coin
아이유 (IU) | 5th Album `LILAC`","2,003,936","EDAM엔터테인먼트
Kakao Entertainment",,
193,new,"

BE ! (Feat. 팔로알토, lIlBOI) (Prod. PEEJAY & Slom)
sokodomo | 쇼미더머니 10 Semi Final","1,985,965","Stone Music Entertainment
지니뮤직",,
194,25,"

Y (Please Tell Me Why)
프리스타일 (Free Style) | 3집 Freestyle 3","1,967,561","NHN벅스
NHN벅스",,
195,25,"

산책
백예린 | 선물","1,956,574","블루바이닐
Dreamus",,
