Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
127,14,"

사이렌
호미들 | Ghetto Kids","2,996,293","G.M.S.P
우조엔터테인먼트",,
128,20,"

뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom)
Khundi Panda | 쇼미더머니 9 Episode 3","2,941,133","Stone Music Entertainment
지니뮤직",,
129,17,"

다시 여기 바닷가
싹쓰리 (유두래곤, 린다G, 비룡) | 다시 여기 바닷가","2,917,670","MBC
Kakao Entertainment",,
130,11,"

Black Mamba
aespa | Black Mamba","2,909,088","SM Entertainment
Dreamus",,
131,18,"

오늘도 난 봄을 기다려
케이시 (Kassy) | 비밀:리에 vol.2 ″오늘도 난 봄을 기다려″","2,900,096","Dreamus, WHYNOT MEDIA
Dreamus",,
132,7,"

34+35
Ariana Grande | Positions","2,896,457","Republic Records
Universal Music",,
133,64,"

우연히 봄
로꼬 (LOCO), 유주 (YUJU) | 냄새를 보는 소녀 OST Part 2","2,863,424","도너츠뮤직
Kakao Entertainment",,
134,18,"

잘할게
이승기 | The Project","2,846,461","후크엔터테인먼트
Kakao Entertainment",,
135,HOT,"

나보다 더 사랑해요
김호중 | 나보다 더 사랑해요","2,799,965","생각을보여주는엔터테인먼트
Kakao Entertainment",,
136,9,"

까만 안경 (Feat. Daylight)
이루 (Eru) | Level Ⅱ","2,784,748","이루엔터테인먼트
Kakao Entertainment",,
137,11,"

bad guy
Billie Eilish | WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2,760,128","Darkroom, Interscope Records
Universal Music",,
138,4,"

ON
방탄소년단 | MAP OF THE SOUL : 7","2,730,431","BIGHIT MUSIC / HYBE
Dreamus",,
139,24,"

ON AIR (Feat. 로꼬, 박재범 & GRAY)
릴보이 (lIlBOI) | 쇼미더머니 9 Final","2,712,492","Stone Music Entertainment
지니뮤직",,
140,16,"

Snowman
Sia | Snowman","2,711,010","Monkey Puzzle, Atlantic
Warner Music",,
141,5,"

Stuck with U
Ariana Grande, Justin Bieber | Stuck with U","2,696,308","2011 Universal Records, a Division of UM
Universal Music",,
142,12,"

Bang!
AJR | Bang!","2,686,182","Black Butter
Sony Music",,
143,36,"

House Party
슈퍼주니어 (Super Junior) | The Renaissance - The 10th Album","2,675,589","SM Entertainment, Label SJ
Dreamus",,
144,7,"

Bad
Christopher | Bad","2,654,698","Parlophone Denmark
Warner Music",,
145,5,"

사계 (Four Seasons)
태연 (TAEYEON) | 사계 (Four Seasons)","2,636,701","SM Entertainment
Dreamus",,
146,29,"

FRIENDS (Prod. Slom)
릴보이 (lIlBOI), 원슈타인 (Wonstein) | FRIENDS","2,608,557","Stone Music Entertainment, 릴MONEY, 뷰티풀노이
지니뮤직, Stone Music Entertainment",,
147,27,"

Bicycle
청하 | Querencia","2,601,379","MNH Entertainment
지니뮤직, Stone Music Entertainment",,
148,9,"

시든 꽃에 물을 주듯
HYNN(박혜원) | 시든 꽃에 물을 주듯","2,597,169","엔터테인먼트뉴오더
Kakao Entertainment",,
149,1,"

HERO
임영웅 | HERO","2,522,197","티조컬처앤컨텐츠, 뉴에라프로젝트
Kakao Entertainment",,
150,19,"

drivers license
Olivia Rodrigo | drivers license","2,517,821","Universal Music
Universal Music",,
151,4,"

Painkiller
Ruel | Painkiller","2,471,603","Rca Records Label
Sony Music",,
152,17,"

뻔한남자
이승기 | 뻔한남자","2,434,752","후크엔터테인먼트
Kakao Entertainment",,
153,2,"

Hold On
Justin Bieber | Hold On","2,430,978","RBMG/Def Jam
Universal Music",,
154,-,"

Square (2017)
백예린 | Every letter I sent you.","2,420,519","블루바이닐
Dreamus",,
155,HOT,"

상상더하기
라붐 (LABOUM) | Fresh Adventure","2,412,440","글로벌에이치미디어
인터파크",,
156,42,"

안녕 내 전부였던 너
펀치 (Punch) | Full Bloom (만개)","2,406,032","냠냠엔터테인먼트
Kakao Entertainment",,
157,13,"

있잖아
폴킴 | 연애플레이리스트2 OST Part 2","2,401,995","스페이스오디티
Kakao Entertainment",,
158,25,"

나로 바꾸자 (duet with JYP)
비 (Rain) | 나로 바꾸자 (duet with JYP)","2,379,163","써브라임 아티스트 에이전시, JYP엔터테인먼트
Kakao Entertainment",,
159,65,"

Beautiful Mistakes
Maroon 5, Megan Thee Stallion | Beautiful Mistakes","2,373,093","222 Records/Interscope Records
Universal Music",,
160,34,"

Like 1999
Valley | Like 1999","2,331,106","Universal Music
Universal Music",,
161,24,"

나만, 봄
볼빨간사춘기 | 사춘기집Ⅰ 꽃기운","2,310,833","쇼파르엔터테인먼트
Kakao Entertainment",,
162,9,"

To Die For
Sam Smith | To Die For","2,305,806","Capitol
Universal Music",,
163,11,"

Ashes
Stellar | Ashes","2,292,581","Arista Records/RCA Records
Sony Music",,
164,83,"

소우주 (Mikrokosmos)
방탄소년단 | MAP OF THE SOUL : PERSONA","2,284,397","BIGHIT MUSIC / HYBE
Dreamus",,
165,23,"

좋아해.. (바른연애 길잡이 X 죠지)
죠지 | 좋아해.. (바른연애 길잡이 X 죠지) OST","2,270,300","TOON STUDIO, 느을
Kakao Entertainment",,
166,17,"

너도 아는
폴킴 | 너도 아는","2,264,256","뉴런뮤직
Kakao Entertainment",,
167,10,"

Shape of You
Ed Sheeran | ÷ (Deluxe)","2,252,830","Atlantic Records UK
Warner Music",,
168,new,"

소란한 밤을 지나
잔나비 | 러브 스포일러 OST (드라마 스테이지 2021)","2,249,525","Stone Music Entertainment
지니뮤직",,
169,77,"

봄이 좋냐??
10cm | 3.2","2,227,913","매직스트로베리사운드
포크라노스",,
170,8,"

노래방에서
장범준 | 장범준 3집","2,221,276","버스커버스커
Kakao Entertainment",,
171,8,"

롤린 (New Ver.)
브레이브걸스 (Brave Girls) | 롤린 (New Ver.)","2,219,401","브레이브 엔터테인먼트
Kakao Entertainment",,
172,12,"

comethru
Jeremy Zucker | summer,","2,189,786","Universal Music
Universal Music",,
173,12,"

미워요
임영웅 | 미워요 / 소나기","2,185,085","물고기뮤직
NHN벅스",,
174,3,"

사랑에 연습이 있었다면 (Prod. 2soo)
임재현 | 사랑에 연습이 있었다면","2,170,480","엔에스씨컴퍼니, 디원미디어
Kakao Entertainment",,
175,8,"

사랑이 식었다고 말해도 돼
먼데이 키즈 (Monday Kiz) | 사랑이 식었다고 말해도 돼","2,163,228","먼데이키즈 컴퍼니
Kakao Entertainment",,
176,3,"

계단말고 엘리베이터
임영웅 | 계단말고 엘리베이터","2,159,879","물고기뮤직
뮤직앤뉴",,
177,8,"

따라따라
임영웅 | 뭣이 중헌디","2,155,670","물고기뮤직
NHN벅스",,
178,4,"

별 보러 가자
적재 | FINE","2,153,608","스톰프뮤직
NHN벅스",,
179,11,"

소나기
임영웅 | 미워요 / 소나기","2,152,352","물고기뮤직
NHN벅스",,
180,120,"

DO or NOT
펜타곤 (PENTAGON) | LOVE or TAKE","2,143,961","큐브엔터테인먼트
Kakao Entertainment",,
181,26,"

행복해
송하예 | Happy","2,141,949","더하기미디어
Kakao Entertainment",,
182,5,"

Mood (Feat. Iann Dior)
24kGoldn | Mood","2,126,441","Kemosabe Records/Columbia
Sony Music",,
183,19,"

비
폴킴 | 비","2,123,581","뉴런뮤직
Kakao Entertainment",,
184,7,"

축가
전우성 | 2018戀歌(연가), 6월의 고백 `축가`","2,102,755","더블킥엔터테인먼트
지니뮤직",,
185,new,"

우연히 봄 (2021)
안녕하신가영 | 우연히 봄 (2021)","2,093,573","도너츠컬쳐
NHN벅스",,
186,7,"

다시 만날까 봐
V.O.S | 다시 만날까 봐","2,092,683","J-SOUL COMPANY
Kakao Entertainment",,
187,21,"

Not Shy
ITZY (있지) | Not Shy","2,088,155","JYP Entertainment
Dreamus",,
188,18,"

Psycho
레드벨벳(Red Velvet) | `The ReVe Festival` Finale","2,085,207","SM Entertainment
Dreamus",,
189,11,"

포장마차
황인욱 | 포장마차","2,082,924","How엔터테인먼트
NHN벅스",,
190,9,"

이제 나만 믿어요 (Piano by 조영수)
임영웅 | 이제 나만 믿어요 (Piano by 조영수)","2,077,363","티조컬처앤컨텐츠, 뉴에라프로젝트
Kakao Entertainment",,
191,8,"

뭣이중헌디
임영웅 | 뭣이 중헌디","2,074,299","물고기뮤직
NHN벅스",,
192,16,"

미친 소리
이예준 | 미친 소리","2,065,117","뮤니콘
Dreamus",,
193,11,"

첫눈처럼 너에게 가겠다
에일리 (Ailee) | 도깨비 OST Part 9","2,042,619","Stone Music Entertainment, 화앤담픽쳐스
지니뮤직, Stone Music Entertainment",,
194,38,"

Beautiful (Feat. Skinny Brown)
ASH ISLAND | ISLAND","2,039,130","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
195,new,"

울어
한동근 | 울어","2,037,062","브랜뉴뮤직
Kakao Entertainment",,
196,37,"

악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트)
스윙스(Swings) | 쇼미더머니 9 Semi Final","2,031,311","Stone Music Entertainment
지니뮤직",,
197,25,"

사랑은 (Feat.원슈타인)
마미손 | 나의슬픔(My Sadness)","2,018,184","뷰티플노이즈
Kakao Entertainment",,
198,6,"

팔레트 (Feat. G-DRAGON)
아이유 (IU) | Palette","2,016,206","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
199,15,"

선물
멜로망스(Melomance) | Moonlight","2,001,244","민트페이퍼, 광합성
Kakao Entertainment",,
200,39,"

청개구리 (2021 Ver.)
트리탑스 (Tritops) | 청개구리 2021","1,976,741","VL-ent
지니뮤직",,
"
",,,,,,
