Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
158,8,"

라일락
아이유 (IU) | 5th Album `LILAC`","2,351,930","EDAM엔터테인먼트
Kakao Entertainment",,
159,6,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","2,329,724","시애틀뮤직
Warner Music",,
160,39,"

찬바람이 불어오네요
케이시 (Kassy) | 추운날","2,319,882","넥스타엔터테인먼트
Kakao Entertainment",,
161,7,"

한 페이지가 될 수 있게
DAY6 | The Book of Us : Gravity","2,263,694","JYP Entertainment
Dreamus",,
162,2,"

보금자리
임영웅 | IM HERO","2,252,401","물고기뮤직
Dreamus",,
163,5,"

리무진 (Feat. MINO) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Episode 3","2,229,183","Stone Music Entertainment
지니뮤직",,
164,16,"

나쁜X
비비(BIBI) | Lowlife Princess: Noir","2,219,507","Feel Ghood Music
Kakao Entertainment",,
165,23,"

달
스트레이 (The Stray) | 달","2,202,049","에이뎀레코드
Warner Music",,
166,10,"

Loving You Girl (Feat. Hkeem)
Peder Elias | Loving You Girl","2,187,696","Columbia
Sony Music",,
167,5,"

Bad Habits
Ed Sheeran | Bad Habits","2,178,481","Atlantic Records UK
Warner Music",,
168,61,"

눈사람
정승환 | 눈사람","2,167,480","안테나뮤직
지니뮤직",,
169,6,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","2,165,106","유야호
지니뮤직, Stone Music Entertainment",,
170,5,"

Bad
Christopher | Bad","2,150,481","Parlophone Denmark
Warner Music",,
171,-,"

고백
멜로망스(Melomance) | 세 번째 `고백`","2,138,873","카카오엔터테인먼트, 민트페이퍼, 광합성
Kakao Entertainment",,
172,4,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","2,129,002","TOON STUDIO
Kakao Entertainment",,
173,1,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","2,097,810","MAKTUB Company
Warner Music",,
174,8,"

Impurities
LE SSERAFIM (르세라핌) | ANTIFRAGILE","2,087,362","쏘스뮤직
YG PLUS",,
175,31,"

아무래도 난
주시크 (Joosiq) | 아무래도 난","2,065,053","뮤직레시피
Warner Music",,
176,12,"

어른
Sondia | 나의 아저씨 OST Part 2","2,045,094","Stone Music Entertainment
지니뮤직",,
177,new,"

슬픈 눈사람 (with KCM)
자정 | 슬픈 눈사람","2,037,429","키야뮤직
Kakao Entertainment",,
178,1,"

거리에서
성시경 | The Ballads","2,036,029","제로원인터랙티브
더늠",,
179,80,"

화이트 (WHITE) (Feat. 박재범)
다비치 | D-MAKE","2,016,959","Stone Music Entertainment, B2M Entertainment
지니뮤직",,
180,3,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","2,008,285","피네이션
지니뮤직, Stone Music Entertainment",,
181,2,"

찰나가 영원이 될 때 (The Eternal Moment)
마크툽 (Maktub) | Red Moon : Beyond The Light","1,998,678","MAKTUB Company
Warner Music",,
182,2,"

선물
멜로망스(Melomance) | Moonlight","1,977,864","민트페이퍼, 광합성
Kakao Entertainment",,
183,53,"

Bring Me Love
John Legend | A Legendary Christmas","1,957,124","Columbia
Sony Music",,
184,new,"

Graduation
NCT DREAM | Candy - Winter Special Mini Album","1,953,455","SM Entertainment
Dreamus",,
185,9,"

진심이었던 사람만 바보가 돼
권진아 | 진심이었던 사람만 바보가 돼","1,951,031","안테나뮤직
Kakao Entertainment",,
186,67,"

12월의 기적 (Miracles in December)
EXO | 겨울 스페셜 앨범 `12월의 기적 (Miracles In December)`","1,933,876","SM Entertainment
Dreamus",,
187,46,"

Oh Santa! (Feat. Ariana Grande & Jennifer Hudson)
Mariah Carey | Oh Santa!","1,933,615","Legacy Recordings
Sony Music",,
188,4,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","1,933,413","EDAM엔터테인먼트
Kakao Entertainment",,
189,1,"

One Call Away
Charlie Puth | Nine Track Mind (Deluxe)","1,928,546","Artist Partners
Warner Music",,
190,29,"

계절을 돌고 돌아
김기태 | 계절을 돌고 돌아","1,926,820","엠에이엔터테인먼트
Kakao Entertainment",,
191,5,"

겨울잠
아이유 (IU) | 조각집","1,921,295","EDAM엔터테인먼트
Kakao Entertainment",,
192,13,"

너였다면
정승환 | 또 오해영 OST Part 5","1,917,508","Stone Music Entertainment
지니뮤직",,
193,11,"

Light Switch
Charlie Puth | Light Switch","1,915,107","Atlantic Records UK
Warner Music",,
194,1,"

문득
BE`O (비오) | Bipolar","1,912,225","페임어스 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
195,22,"

가을밤에 든 생각
잔나비 | 잔나비 소곡집 l","1,911,758","페포니 뮤직
Kakao Entertainment",,
196,5,"

Vancouver
BIG Naughty (서동현) | Lovey Dovey","1,911,312","H1GHR MUSIC
Kakao Entertainment",,
197,60,"

It`s Beginning To Look A Lot Like Christmas
Michael Buble | Christmas","1,902,182","Warner Music
Warner Music",,
198,HOT,"

눈 (Feat. 이문세)
자이언티(Zion.T) | 눈","1,896,666","The Black Label
YG PLUS",,
199,12,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","1,888,871","씨제스엔터테인먼트
Kakao Entertainment",,
200,11,"

언제나 사랑해
케이시 (Kassy) | 조영수 리메이크 프로젝트 Part.2","1,880,434","도토리뮤직
Kakao Entertainment",,
"
",,,,,,
