,music,singer,music_id,release_date,category,music_like,comment_count
218,솔직히,에릭남,31012136,2018.04.11,댄스,23907,195
219,Thursday,EXOCBX,31009485,2018.04.10,R&B/Soul,54948,142
220,휴일,EXOCBX,31009488,2018.04.10,R&B/Soul,57686,212
221,EASY,휘인,31025164,2018.04.17,R&B/Soul,53005,440
222,#결별,"길구봉구,박보람",31025182,2018.04.17,댄스,21821,334
223,주지마,"로꼬,화사",31035061,2018.04.21,발라드,204667,1351
224,부를게,JBJ,31024943,2018.04.17,댄스,20596,321
225,YAHO,윤진영,31019587,2018.04.14,랩/힙합,23577,237
226,어른,Sondia,30985406,2018.03.29,"발라드, 국내드라마",211992,794
227,욕심,멜로망스,31046548,2018.04.26,"발라드, 인디음악",80454,272
228,그날의 너,러블리즈,31038043,2018.04.23,댄스,40165,728
229,"별, 그대",황치열,31040793,2018.04.24,발라드,29785,312
230,달리,효린,31037173,2018.04.23,랩/힙합,36154,217
231,"Graduation , 이로한 )",김하온,31033882,2018.04.20,랩/힙합,35125,388
232,별 시,박효신,31052592,2018.04.30,발라드,61770,821
233,밤,여자친구,31052421,2018.04.30,댄스,169891,3896
234,잊을만하면,크러쉬,31056799,2018.05.03,R&B/Soul,93047,421
235,My Paradise,GroovyRoom,31052478,2018.04.30,랩/힙합,46769,338
236,빛나리,펜타곤,30992157,2018.04.02,랩/힙합,124987,2440
237,뒤집어버려,"박재범,사이먼도미닉,로꼬,GRAY",31052723,2018.05.01,랩/힙합,35243,289
238,LATATA,아이들,31055324,2018.05.02,댄스,152340,1262
239,무슨 말이 필요해,용준형,31065629,2018.05.09,댄스,29216,239
240,SINKING DOWN WITH U,빈첸,31065640,2018.05.09,랩/힙합,45345,326
241,그대들은 어떤 기분이신가요,빈첸,31065644,2018.05.09,랩/힙합,32332,208
242,너란 별,케이윌,31068579,2018.11.06,R&B/Soul,14204,100
243,우리 서로,김나영,31070262,2018.05.11,발라드,44049,120
244,FAKE LOVE,방탄소년단,31085237,2018.05.18,랩/힙합,336820,6177
245,전하지 못한 진심,방탄소년단,31085238,2018.05.18,랩/힙합,271276,2970
246,134340,방탄소년단,31085239,2018.05.18,랩/힙합,155324,1353
247,낙원,방탄소년단,31085240,2018.05.18,랩/힙합,167572,1237
248,Love Maze,방탄소년단,31085241,2018.05.18,랩/힙합,184747,1638
249,Magic Shop,방탄소년단,31085242,2018.05.18,랩/힙합,189944,2405
250,Anpanman,방탄소년단,31085244,2018.05.18,랩/힙합,192486,1301
251,Airplane pt.2,방탄소년단,31085243,2018.05.18,랩/힙합,168443,1127
252,So What,방탄소년단,31085245,2018.05.18,랩/힙합,153914,938
253,Fly Away,"신승훈,에일리",31070170,2018.05.12,R&B/Soul,22461,266
254,Intro : Singularity,방탄소년단,31085236,2018.05.18,랩/힙합,125930,749
255,Additional,폴킴,31076386,2018.05.15,R&B/Soul,21487,67
256,Outro : Tear,방탄소년단,31085246,2018.05.18,랩/힙합,123582,1286
257,열애중,벤,31062863,2018.05.08,발라드,192638,539
258,여행,볼빨간사춘기,31093710,2018.05.24,"인디음악, 록/메탈",292332,1707
