year,week_num,start_date,end_date,rank,music,singer,album
2019,46,2019.11.10,2019.11.16,85,여행,볼빨간사춘기,Red Diary Page.2
2019,45,2019.11.03,2019.11.09,92,"fuck, i`m lonely","Lauv, Anne-Marie","fuck, i`m lonely (from `13 Reasons Why: Season 3`)"
2019,32,2019.08.04,2019.08.10,5,니 소식,송하예,니 소식
2019,31,2019.07.28,2019.08.03,40,너만 너만 너만,양다일,호텔 델루나 OST Part.4
2019,29,2019.07.14,2019.07.20,42,Goodbye,박효신,Goodbye
2019,30,2019.07.21,2019.07.27,41,벌써 12시,청하,벌써 12시
2019,37,2019.09.08,2019.09.14,45,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,38,2019.09.15,2019.09.21,44,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이(Giriboy),100년제전문대학
2019,35,2019.08.25,2019.08.31,48,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
2019,36,2019.09.01,2019.09.07,47,서울 밤 (Feat. 빈지노),어반 자카파 (Urban Zakapa),서울 밤
2019,33,2019.08.11,2019.08.17,51,내 안부,이우,내 안부
2019,34,2019.08.18,2019.08.24,50,BUNGEE (Fall in Love),오마이걸 (OH MY GIRL),OH MY GIRL SUMMER PACKAGE (FALL IN LOVE)
2019,44,2019.10.27,2019.11.02,53,Kill This Love,BLACKPINK,KILL THIS LOVE
2019,42,2019.10.13,2019.10.19,56,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이,24℃
2019,43,2019.10.20,2019.10.26,55,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
2019,41,2019.10.06,2019.10.12,58,대충 입고 나와,우디(Woody),대충 입고 나와
2019,40,2019.09.29,2019.10.05,60,별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,39,2019.09.22,2019.09.28,62,봄날,방탄소년단,YOU NEVER WALK ALONE
2019,51,2019.12.15,2019.12.21,61,오늘 밤에,홍진영,Lots of Love
