album,end_date,music,rank,singer,start_date,week_num,year
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.04.01,새삥 (Prod. ZICO) (Feat. 호미들),3,지코 (ZICO),2023.03.26,45,2022
Monologue,2023.02.18,Monologue,9,테이 (Tei),2023.02.12,46,2022
ANTIFRAGILE,2023.03.25,ANTIFRAGILE,4,LE SSERAFIM (르세라핌),2023.03.19,45,2022
I love,2023.04.15,Nxde,1,(여자)아이들,2023.04.09,44,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.18,사건의 지평선,5,윤하,2023.03.12,45,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.04.08,새삥 (Prod. ZICO) (Feat. 호미들),2,지코 (ZICO),2023.04.02,44,2022
NewJeans 1st EP `New Jeans`,2023.03.11,Hype boy,6,NewJeans,2023.03.05,45,2022
ANTIFRAGILE,2023.04.01,ANTIFRAGILE,3,LE SSERAFIM (르세라핌),2023.03.26,44,2022
Rush Hour,2023.03.04,Rush Hour (Feat. j-hope of BTS),7,크러쉬 (CRUSH),2023.02.26,45,2022
After LIKE,2023.03.25,After LIKE,4,IVE (아이브),2023.03.19,44,2022
NewJeans 1st EP `New Jeans`,2023.02.25,Attention,8,NewJeans,2023.02.19,45,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.18,사건의 지평선,5,윤하,2023.03.12,44,2022
BORN PINK,2023.02.18,Shut Down,9,BLACKPINK,2023.02.12,45,2022
NewJeans 1st EP `New Jeans`,2023.03.11,Hype boy,6,NewJeans,2023.03.05,44,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.04.15,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2023.04.09,43,2022
BORN PINK,2023.03.04,Shut Down,7,BLACKPINK,2023.02.26,44,2022
I love,2023.04.08,Nxde,2,(여자)아이들,2023.04.02,43,2022
ANTIFRAGILE,2023.02.25,ANTIFRAGILE,8,LE SSERAFIM (르세라핌),2023.02.19,44,2022
After LIKE,2023.04.01,After LIKE,3,IVE (아이브),2023.03.26,43,2022
Monologue,2023.02.18,Monologue,9,테이 (Tei),2023.02.12,44,2022
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,43,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.04.15,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2023.04.09,42,2022
BORN PINK,2023.03.18,Shut Down,5,BLACKPINK,2023.03.12,43,2022
After LIKE,2023.04.08,After LIKE,2,IVE (아이브),2023.04.02,42,2022
NewJeans 1st EP `New Jeans`,2023.03.11,Attention,6,NewJeans,2023.03.05,43,2022
