Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
146,112,"

BAD LOVE
키 (KEY) | BAD LOVE - The 1st Mini Album","2,611,243","SM Entertainment
Dreamus",,
147,22,"

Tiny Riot
Sam Ryder | Tiny Riot","2,570,034","Parlophone UK
Warner Music",,
148,21,"

벌써 일년 (Drama Ver.)
미도와 파라솔 | 슬기로운 의사생활 시즌2 OST Special","2,566,652","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
149,13,"

넌 좋은 사람
SG 워너비 | 넌 좋은 사람","2,559,620","C9 ENTERTAINMENT, 목소리, 더블에이치티엔이
Kakao Entertainment",,
150,5,"

비도 오고 그래서 (Feat. 신용재)
헤이즈 (Heize) | /// (너 먹구름 비)","2,520,847","Stone Music Entertainment
지니뮤직",,
151,3,"

Don`t Start Now
Dua Lipa | Don`t Start Now","2,499,622","Warner Records
Warner Music",,
152,new,"

ICONIC
aespa | Savage - The 1st Mini Album","2,479,995","SM Entertainment
Dreamus",,
153,4,"

주저하는 연인들을 위해
잔나비 | 전설","2,469,311","페포니 뮤직
Kakao Entertainment",,
154,new,"

I`ll Make You Cry
aespa | Savage - The 1st Mini Album","2,439,256","SM Entertainment
Dreamus",,
155,12,"

Leave The Door Open
Bruno Mars, Anderson .Paak, Silk Sonic | Leave The Door Open","2,436,666","Aftermath Entertainment/Atlantic
Warner Music",,
156,6,"

parachute
John K | love + everything else","2,429,966","Epic
Sony Music",,
157,37,"

언젠가는
미도와 파라솔 | 슬기로운 의사생활 시즌2 OST Part 12","2,348,254","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
158,7,"

마.피.아. In the morning
ITZY (있지) | GUESS WHO","2,342,189","JYP Entertainment
Dreamus",,
159,13,"

미워요
임영웅 | 미워요 / 소나기","2,340,111","물고기뮤직
NHN벅스",,
160,2,"

내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
규현 (KYUHYUN) | 내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST","2,339,454","TOON STUDIO, 느을
Kakao Entertainment",,
161,9,"

사계 (Four Seasons)
태연 (TAEYEON) | 사계 (Four Seasons)","2,329,359","SM Entertainment
Dreamus",,
162,15,"

어느 햇살 좋은 날
케이시 (Kassy) | 갯마을 차차차 OST Part 2","2,327,597","Stone Music Entertainment
지니뮤직",,
163,15,"

가을 아침
아이유 (IU) | 꽃갈피 둘","2,324,549","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
164,1,"

Loving You Girl (Feat. Hkeem)
Peder Elias | Loving You Girl","2,292,955","Columbia
Sony Music",,
165,13,"

도망가자 (Run With Me)
선우정아 | Serenade","2,289,639","매직스트로베리사운드
지니뮤직, Stone Music Entertainment",,
166,1,"

Rainy day (Feat. ASH ISLAND, Skinny Brown)
PATEKO (파테코) | Rainy day","2,284,288","tokkinny records
YG PLUS",,
167,new,"

GLASSY
조유리 | GLASSY","2,269,642","WAKEONE
지니뮤직, Stone Music Entertainment",,
168,12,"

Pretty Savage
BLACKPINK | THE ALBUM","2,259,481","YG Entertainment
YG PLUS",,
169,5,"

Shape of You
Ed Sheeran | ÷ (Deluxe)","2,256,276","Atlantic Records UK
Warner Music",,
170,15,"

계단말고 엘리베이터
임영웅 | 계단말고 엘리베이터","2,228,820","물고기뮤직
뮤직앤뉴",,
171,57,"

Road Trip
NCT 127 | Sticker - The 3rd Album","2,207,559","SM Entertainment
Dreamus",,
172,19,"

나는 너 좋아
장범준 | 슬기로운 의사생활 시즌2 OST Part 3","2,192,189","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
173,4,"

가을 타나 봐
바이브 (Vibe) | 가을 타나 봐","2,188,383","메이저나인
지니뮤직",,
174,7,"

안녕
폴킴 | 호텔 델루나 OST Part.10","2,179,294","냠냠엔터테인먼트
Kakao Entertainment",,
175,11,"

사랑하게 될 줄 알았어
전미도 | 슬기로운 의사생활 OST Part 11","2,178,313","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
176,20,"

My Romance
CHEEZE (치즈) | 갯마을 차차차 OST Part 3","2,167,547","Stone Music Entertainment
지니뮤직",,
177,9,"

추적이는 여름 비가 되어
장범준 | 장범준 싱글","2,167,287","버스커버스커
Kakao Entertainment",,
178,5,"

그냥 안아달란 말야
다비치 | 그냥 안아달란 말야","2,163,893","Stone Music Entertainment
지니뮤직",,
179,-,"

Maniac
Conan Gray | Maniac","2,162,073","Republic Records
Universal Music",,
180,new,"

Bambi
백현 (BAEKHYUN) | Bambi - The 3rd Mini Album","2,142,525","SM Entertainment
Dreamus",,
181,5,"

우리 왜 헤어져야 해
신예영 | 우리 왜 헤어져야 해","2,140,583","스튜디오 오드리
Kakao Entertainment",,
182,11,"

너의 모든 순간
성시경 | 별에서 온 그대 OST Part 7","2,101,456","SBS 콘텐츠허브
Kakao Entertainment",,
183,16,"

사랑의 아픔 딛고
임영웅 | 사랑의 콜센타 PART65","2,086,827","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
184,20,"

목로주점
임영웅 | 사랑의 콜센타 PART50","2,085,134","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
185,2,"

이렇게 좋아해 본 적이 없어요
CHEEZE (치즈) | 이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)) OST","2,084,365","모스트콘텐츠, 니즈뮤직
NHN벅스",,
186,42,"

퇴근버스
전상근 | 이별 후, 첫 번째","2,082,038","이별 후
Kakao Entertainment",,
187,10,"

Love Yourself
Justin Bieber | Purpose (Deluxe Edition)","2,060,442","Def Jam Recordings, a division of UMG Recordings, Inc
Universal Music",,
188,6,"

시작
가호 (Gaho) | 이태원 클라쓰 OST Part.2","2,056,368","블렌딩
블렌딩",,
189,-,"

Stuck with U
Ariana Grande, Justin Bieber | Stuck with U","2,055,201","2011 Universal Records, a Division of UM
Universal Music",,
190,34,"

그럴때마다
백예린 | 선물","2,046,088","블루바이닐
Dreamus",,
191,4,"

Ashes
Stellar | Ashes","2,025,033","Arista Records/RCA Records
Sony Music",,
192,-,"

At My Worst
Pink Sweat$ | The Prelude","2,014,578","Warner Music
Warner Music",,
193,9,"

ONLY
이하이 | ONLY","1,971,109","AOMG
지니뮤직, Stone Music Entertainment",,
194,3,"

Leave Before You Love Me
Marshmello, Jonas Brothers | Leave Before You Love Me","1,947,216","Republic Records
Universal Music",,
195,12,"

가을밤에 든 생각
잔나비 | 잔나비 소곡집 l","1,930,691","페포니 뮤직
Kakao Entertainment",,
196,12,"

선물
멜로망스(Melomance) | Moonlight","1,927,721","민트페이퍼, 광합성
Kakao Entertainment",,
197,13,"

Way Back Home
숀 (SHAUN) | Take","1,919,926","디씨톰엔터테인먼트
Warner Music",,
198,3,"

내사람
SG 워너비 | The Precious History","1,910,910","Stone Music Entertainment
지니뮤직",,
199,2,"

살다가
SG 워너비 | 살다가","1,910,828","Stone Music Entertainment
지니뮤직",,
200,29,"

한계
백예린 | 선물","1,903,354","블루바이닐
Dreamus",,
"
",,,,,,
